id,model,accuracy score,inference time,trainable params,neurons
0,default,0.9964622641509434,0.7468955516815186,19760,64
1,dropout,0.9970518867924528,0.7059969902038574,19760,64
2,half,0.9937106918238994,0.569674015045166,6064,32
3,quarter,0.9781839622641509,0.4677286148071289,2288,16
4,mid-half-quarter,0.9897798742138365,0.5335688591003418,3920,24
